
Pinging 8.8.4.4

12:51:33 34.5
12:51:38 38.6
12:51:44 42.4
12:51:49 36.1
12:51:54 42.7
12:51:59 49.5
12:52:04 38.3
12:52:09 42.5
12:52:14 36.4
12:52:19 50.5
12:52:24 44.5
12:52:29 38.4
12:52:34 42.5
12:52:39 36.3
12:52:44 30.4
12:52:49 44.4
12:52:54 38.5
12:52:59 42.2
12:53:04 36.5
12:53:09 40.2
12:53:14 34.5
12:53:19 38.4
12:53:24 42.4
12:53:29 36.2
12:53:34 40.6
12:53:39 44.4
12:53:44 38.4
12:53:49 42.5
12:53:54 36.4
12:53:59 30.7
12:54:04 44.3
12:54:09 38.4
12:54:14 42.3
12:54:19 36.4
12:54:24 30.6
12:54:29 44.6
12:54:34 38.3
12:54:39 42.2
12:54:44 36.7
12:54:49 40.5
12:54:54 35.6
12:54:59 38.3
12:55:04 42.7
12:55:09 36.6
12:55:14 41.9
12:55:19 35.5
12:55:24 39.3
12:55:29 43.6
12:55:34 37.4
12:55:39 41.4
12:55:44 35.4
12:55:49 49.3
12:55:54 43.2
12:55:59 38.1
12:56:04 32.4
12:56:09 38.3
12:56:14 48.5
12:56:19 34.4
12:56:24 38.6
12:56:29 36.9
12:56:34 31.7
12:56:39 35.3
12:56:44 29.4
12:56:49 43.1
12:56:54 37.6
12:56:59 41.6
12:57:04 35.3
12:57:09 39.5
12:57:14 44.4
12:57:19 67.4
12:57:24 42.3
12:57:29 36.4
12:57:34 30.6
12:57:39 34.6
12:57:44 47.5
12:57:49 43.5
12:57:54 45.7
12:57:59 41.4
12:58:04 35.5
12:58:09 39.3
12:58:14 34.0
12:58:19 38.7
12:58:24 32.6
12:58:29 34.1
12:58:34 30.6
12:58:39 44.5
12:58:44 38.6
12:58:49 31.0
12:58:54 37.7
12:58:59 42.0
12:59:04 36.4
12:59:09 40.4
12:59:14 74.1
12:59:19 39.7
12:59:24 43.4
12:59:29 39.6
12:59:34 43.3
12:59:39 41.3
12:59:44 35.5
12:59:49 39.3
12:59:54 34.3
12:59:59 39.0
13:00:04 34.5
13:00:09 39.3
13:00:14 34.3
13:00:19 40.5
13:00:24 35.3
13:00:29 40.1
13:00:34 36.5
13:00:39 39.3
13:00:44 34.0
13:00:49 39.6
13:00:54 33.1
13:00:59 30.3
13:01:04 35.1
13:01:09 29.6
13:01:14 43.1
13:01:19 37.8
13:01:24 42.5
13:01:29 36.2
13:01:34 40.7
13:01:39 44.4
13:01:44 38.9
13:01:49 43.5
13:01:54 37.8
13:01:59 32.8
13:02:04 44.9
13:02:09 41.8
13:02:14 37.7
13:02:19 30.6
13:02:24 34.6
13:02:29 38.2
13:02:34 42.8
13:02:39 36.9
13:02:44 45.8
13:02:49 36.6
13:02:54 33.4
13:02:59 36.5
13:03:04 30.8
13:03:09 35.7
13:03:14 39.4
13:03:19 44.2
13:03:24 37.4
13:03:29 31.8
13:03:34 37.4
13:03:39 41.5
13:03:44 45.5
13:03:49 39.6
13:03:54 44.2
13:03:59 37.4
13:04:04 72.5
13:04:09 36.8
13:04:14 40.4
13:04:19 38.6
13:04:24 48.7
13:04:29 34.5
13:04:34 38.5
13:04:39 32.6
13:04:44 36.1
13:04:49 31.6
13:04:54 45.5
13:04:59 39.3
13:05:04 33.7
13:05:09 37.7
13:05:14 41.2
13:05:19 35.5
13:05:24 39.3
13:05:29 33.7
13:05:34 37.4
13:05:39 42.7
13:05:44 35.7
13:05:49 40.3
13:05:54 34.8
13:05:59 39.5
13:06:04 44.5
13:06:09 38.4
13:06:14 42.5
13:06:19 36.4
13:06:25 41.1
13:06:30 36.3
13:06:35 40.8
13:06:40 35.3
13:06:45 30.5
13:06:50 35.5
13:06:55 30.6
13:07:00 34.0
13:07:05 38.9
13:07:10 43.3
